stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,ReRating.started,stim_image2.started,slider_final.started,key_resp_2.started,stim_image2.stopped,rating_prompt2.started,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.007172000012360513,0.01144233311060816,0.01144233311060816,18.725014625000767,space,18.51958816696424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_08.jpeg,agree,70.0,53,3,5,67.0,1.6242806249065325,space,1.027783083030954,None,67.0,1.0203188749728724,None,,,5,3,53,7,486.5636475411011,,,,,,,,,486.5570178331109,486.5636475411011,487.529181291,488.52814758301247,489.02842083305586,489.5214287911076,489.5622899160953,67.0,1.6242806249065325,space,1.027783083030954,None,489.5647820830345,489.57003066607285,492.6034235410625,492.56088391609956,492.5943340000231,492.6034235410625,492.6034235410625,,,,493.62074245803524,67.0,1.0203188749728724,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_02.jpeg,disagree,20.0,54,4,5,67.0,2.599871291895397,space,5.261495541082695,None,68.0,0.9466729160631076,None,,,5,4,54,1,493.63804608304054,,,,,,,,,493.631948125083,493.63804608304054,494.6142015410587,495.61318945803214,496.11154933308717,496.61179912509397,500.87867304100655,67.0,2.599871291895397,space,5.261495541082695,None,500.8812881660415,500.88662241608836,503.9024337501032,503.8726019160822,503.89190016605426,503.9024337501032,503.9024337501032,,,,504.8449435411021,68.0,0.9466729160631076,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_07.jpeg,neutral,65.0,55,5,5,68.0,1.8572954999981448,space,0.9620764169376343,None,5.0,1.6436227920930833,None,,,5,5,55,6,504.8704898330616,,,,,,,,,504.8639154160628,504.8704898330616,505.8401932910783,506.83940925006755,507.3388698330382,,507.80631283309776,68.0,1.8572954999981448,space,0.9620764169376343,None,507.80895666603465,507.8145380410133,,510.8086675000377,510.8408244580496,510.85040658304933,510.85040658304933,,,,512.4906145411078,5.0,1.6436227920930833,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_03.jpeg,agree,80.0,56,6,5,99.0,2.458586207940243,space,1.1151767499977723,None,95.0,1.7979599590180442,None,,,5,6,56,2,512.5081226250622,,,,,,,,,512.5014889161102,512.5081226250622,513.4856176250614,514.4841663750121,514.9826032500714,515.4818111250643,515.603181750048,99.0,2.458586207940243,space,1.1151767499977723,None,515.6063248330029,515.6130738750799,518.6288236660184,518.6000508330762,518.6187109160237,518.6288236660184,518.6288236660184,,,,520.4256612909958,95.0,1.7979599590180442,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_10.jpeg,agree,80.0,57,7,5,92.0,1.5914457089966163,space,0.8004960829857737,None,92.0,0.8974061249755323,None,,,5,7,57,9,520.4510342910653,,,,,,,,,520.4444884160766,520.4510342910653,521.4261727910489,522.4156174160307,522.9244240410626,,523.2193501660367,92.0,1.5914457089966163,space,0.8004960829857737,None,523.2194235000061,523.2249431660166,526.2524406660814,526.2126005410682,526.243031541002,526.2524406660814,526.2524406660814,,,,527.1458374160575,92.0,0.8974061249755323,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_05.jpeg,disagree,10.0,58,8,5,92.0,2.8194360421039164,space,1.2759263750631362,None,2.0,1.8670878750272095,None,,,5,8,58,4,527.1611270830035,,,,,,,,,527.1543125410099,527.1611270830035,528.1378176250728,529.1370887079975,529.6367394580739,530.1368006661069,530.4222223750548,92.0,2.8194360421039164,space,1.2759263750631362,None,530.4248080831021,530.4308285830775,533.4409349160269,533.4172569580842,533.4281775000272,533.4409349160269,533.4409349160269,,,,535.3039515831042,2.0,1.8670878750272095,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_06.jpeg,neutral,50.0,59,9,5,100.0,1.8739301250316203,space,0.4081899159355089,None,54.0,2.2623071660054848,None,,,5,9,59,5,535.3280581660802,,,,,,,,,535.3218347080983,535.3280581660802,536.3033798329998,537.2955739160534,,,537.71467979101,100.0,1.8739301250316203,space,0.4081899159355089,None,537.7175330410246,537.7240877910517,,540.7172992500709,540.7483515000204,540.7583257080987,540.7583257080987,542.7097927500727,542.749864500016,,543.0165700000944,54.0,2.2623071660054848,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_04.jpeg,agree,70.0,60,0,6,96.0,2.5992517500417307,space,1.273530749953352,None,55.0,1.959319582907483,None,,,6,0,60,3,543.0554864160949,,,,,,,,,543.0486104580341,543.0554864160949,544.0142576660728,545.0130173750222,545.5145581660327,546.0034512500279,546.2894067910966,96.0,2.5992517500417307,space,1.273530749953352,None,546.2920542500215,546.2975924160564,,549.2937501660781,549.3438673330238,549.3523206660757,549.3523206660757,551.285145541071,,,551.3087466660654,55.0,1.959319582907483,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_02.jpeg,disagree,20.0,61,1,6,96.0,5.514446208951995,space,3.877366542001255,None,6.0,2.1086298750014976,None,,,6,1,61,1,551.3279456660384,,,,,,,,,551.3217200830113,551.3279456660384,552.3095590410521,553.2989165000618,553.8073711250909,554.2992242081091,557.1829805410234,96.0,5.514446208951995,space,3.877366542001255,None,557.1855062911054,557.1906549580162,560.2045069580199,560.1743496661074,560.19419883308,560.2045069580199,560.2045069580199,562.1763838330517,562.1993005831027,,562.3089473330183,6.0,2.1086298750014976,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_08.jpeg,agree,70.0,62,2,6,2.0,13.572849584044889,space,13.518895082990639,None,56.0,1.72915758297313,None,,,6,2,62,7,562.3337773750536,,,,,,,,,562.3267106660642,562.3337773750536,563.2992556660902,564.3029028750025,564.8076282080729,565.290623000008,577.8249189580092,2.0,13.572849584044889,space,13.518895082990639,None,577.8277194580296,577.8332540410338,580.8620118750259,580.8213858330855,580.8527790000662,580.8620118750259,580.8620118750259,,,,582.5877442910569,56.0,1.72915758297313,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
