poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,z,0,0,0,z,1,0.6629138339776546,None,,,,,0,0,0,3,270.98793241695967,,,,270.98160433291923,270.98793241695967,271.9605517499149,271.9605517499149,271.9605517499149,271.9605517499149,271.98317991697695,272.96850562491454,272.96850562491454,,273.6337704999605,,,,,z,1,0.6629138339776546,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,1,1,0,x,1,0.6548211259068921,None,,,,,0,1,1,0,273.6411906669382,,,,273.63420612493064,273.6411906669382,274.62651379196905,274.62651379196905,274.62651379196905,274.62651379196905,274.63170887494925,275.62963741691783,275.62963741691783,,276.29413970792666,,,,,x,1,0.6548211259068921,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,2,2,0,c,0,0.8047568330075592,None,,,,,0,2,2,2,276.30265887489077,,,,276.2949221249437,276.30265887489077,277.2893662919523,277.2893662919523,277.2893662919523,277.2893662919523,277.30144349997863,278.2875662079314,278.2875662079314,,279.0956258329097,,,,,c,0,0.8047568330075592,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,3,3,0,v,1,0.5857267919927835,None,,,,,0,3,3,1,279.10483170789666,,,,279.0964695418952,279.10483170789666,280.08878608292434,280.08878608292434,280.08878608292434,280.08878608292434,280.10077062493656,281.091810666956,281.091810666956,,281.6816249579424,,,,,v,1,0.5857267919927835,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,4,4,1,v,1,0.6676216670311987,None,,,,,1,4,4,1,281.68887641699985,,,,281.68246883293614,281.68887641699985,282.6740172499558,282.6740172499558,282.6740172499558,282.6740172499558,282.67970191698987,283.6716027079383,283.6716027079383,,284.3500732079847,,,,,v,1,0.6676216670311987,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,5,5,1,z,1,0.6468036250444129,None,,,,,1,5,5,3,284.3572047499474,,,,284.35055387497414,284.3572047499474,285.3471353329951,285.3471353329951,285.3471353329951,285.3471353329951,285.3471353329951,286.34834545792546,286.34834545792546,,286.99637908290606,,,,,z,1,0.6468036250444129,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,6,6,2,v,1,0.6027753750095144,None,,,,,2,6,6,1,287.00434512493666,,,,286.99687574990094,287.00434512493666,287.9945398749551,287.9945398749551,287.9945398749551,287.9945398749551,287.9945398749551,288.9923121249303,288.9923121249303,,289.6008308749879,,,,,v,1,0.6027753750095144,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,7,7,2,x,0,7.510548499994911,None,,,,,2,7,7,3,289.6078571669059,,,,289.6014662079979,289.6078571669059,290.5883003328927,290.5883003328927,290.5883003328927,290.5883003328927,290.6063756669173,291.5903115828987,291.5903115828987,292.58974645799026,299.10356949991547,,,,,x,0,7.510548499994911,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,8,8,3,v,1,0.526563209015876,None,,,,,3,8,8,1,299.11302770790644,,,,299.1045022920007,299.11302770790644,300.10160566691775,300.10160566691775,300.10160566691775,300.10160566691775,300.10776541696396,301.0962644579122,301.0962644579122,,301.62723499990534,,,,,v,1,0.526563209015876,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,9,9,4,v,1,0.4732058340450749,None,,,,,4,9,9,1,301.6373654579511,,,,301.62791487493087,301.6373654579511,302.6167345829308,302.6167345829308,302.6167345829308,302.6167345829308,302.63404020795133,303.6254874999868,303.6254874999868,,304.10216383298393,,,,,v,1,0.4732058340450749,None,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
