stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
22,0.5,2.0,25.556708457996137,,25.548805957994773,25.556708457996137,26.044841290990007,26.044841290990007,26.049355166003807,26.344732790996204,26.43926229099452,right,2.0,1,1,0.38178416700975504,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
23,0.5,2.0,26.44838229099696,,26.439812249998795,26.44838229099696,26.936329999996815,26.936329999996815,26.94015316599689,27.237365207998664,27.62570395799412,left,-2.0,1,1,0.6873080420045881,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
24,0.5,2.0,27.63495220799814,,27.626177165991976,27.63495220799814,28.116439249992254,28.116439249992254,28.136497250001412,28.411626790999435,28.5175523749931,right,2.0,1,1,0.3981128759915009,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
25,0.5,1.5,28.526677125002607,,28.51801637499011,28.526677125002607,29.008475957991323,29.008475957991323,29.028862708000815,29.299352749992977,29.664575082992087,left,-1.5,1,1,0.6431708750023972,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
26,0.5,1.5,29.673374457997852,,29.66505245800363,29.673374457997852,30.158058707995224,30.158058707995224,30.170096290996298,30.453153166003176,30.84771383299085,left,-1.5,0,0,0.6795350839965977,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
27,0.5,2.0,30.856710583000677,,30.848273790994426,30.856710583000677,31.342968832992483,31.342968832992483,31.347724291001214,31.64435533300275,32.12555633299053,right,2.0,1,1,0.7785598750051577,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
28,0.5,2.0,32.13587270799326,,32.12603791599395,32.13587270799326,32.61826524999924,32.61826524999924,32.622438291000435,32.919947957998374,33.11382883299666,right,2.0,1,1,0.4913610420044279,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
29,0.5,2.0,33.123485541000264,,33.11433929100167,33.123485541000264,33.60850924999977,33.60850924999977,33.62014404099318,33.90344854099385,34.223177124993526,right,2.0,1,1,0.6119542919914238,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
30,0.5,1.5,34.231830749995424,,34.223656791000394,34.231830749995424,34.71967812499497,34.71967812499497,34.72321295799338,35.020018458002596,35.22290212499502,right,1.5,1,1,0.49577170801057946,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
31,0.5,1.5,35.23167987499619,,35.223507082992,35.23167987499619,35.7202661249903,35.7202661249903,35.728121749998536,36.00837029099057,36.43017995799892,left,-1.5,1,1,0.7051755830034381,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
